Question Number,Question Type,Section,Question,Answer
1,Multiple Choice,Part I,Which one of the following statements about viruses is correct?,They are the facultative parasites
2,Multiple Choice,Part I,Identify the Archaebacterium,Methanobacterium
3,Multiple Choice,Part I,Identify the correctly matched pair,"Actinomycete – Lumpy jaw, Mycoplasma – sandal spike, Bacteria – crown gall, Fungi – late blight"
4,Multiple Choice,Part I,Identify the incorrect statement about the gram-positive bacteria.,Teichoic acid absent
5,Multiple Choice,Part I,The correct statement regarding Blue Green Algae is,Lack of motile structures
6,Short Answer,Part I,Differentiate Homoiomerous and Heteromerous lichens.,"Homoiomerous: Algae cells evenly distributed in the thallus, Heteromerous: A distinct layer of alga and fungi present"
7,Long Answer,Part I,Write the distinguishing features of Monera.,"1. This kingdom includes all prokaryotic organisms. Example: Mycoplasma, bacteria, actinomycetes, and cyanobacteria. 2. These are microscopic. They do not have a true nucleus and membrane-bound organelles. 3. Many bacteria like Rhizobium, Azotobacter, and Clostridium can fix atmospheric nitrogen into ammonia. 4. Some bacteria are parasites and others live as symbionts."
8,Long Answer,Part I,Why do farmers plant leguminous crops in crop rotations/mixed cropping?,"Rhizobium- Nitrogen-fixing bacteria living in root modules of leguminous plants has symbiotic association, fixes atmospheric nitrogen, converts to nitrates, increases soil fertility. Growing legumes alternatively with paddy helps high yield through crop rotation. Mixed cropping enriches soil by fixing atmospheric nitrogen."
9,Long Answer,Part I,Briefly discuss the 5 kingdom system of classification. Add a note on their merits and demerits.,"Proposed by R.H. Whittaker, based on cell structure, thallus organization, mode of nutrition, reproduction, and phylogenetic relations. Kingdoms: Monera, Protista, Fungi, Plantae, Animalia. Merits: Based on cell complexity, organization, nutrition. Demerits: Includes both autotrophic & heterotrophic organisms in same groups."
10,Long Answer,Part I,Give a general account of lichens,"Definition: Symbiotic association of algae (Phycobiont) and fungi (Mycobiont). Algae provides nutrition through photosynthesis, fungi provides protection and helps in fixing to substratum. Classifications based on habitat, morphology, distribution of algae cells, and fungal partner. Economic importance includes rock weathering, pollution indication, and dye production."
1,Multiple Choice,Part II Additional,Earth has formed around billion years ago,4.6 billion years
2,Multiple Choice,Part II Additional,The organism that is reproductively sterile,Worker bees
3,Multiple Choice,Part II Additional,Which of the following is NOT a prokaryote?,Oedogonium
4,Multiple Choice,Part II Additional,Recombination is the result of,Sexual reproduction
5,Multiple Choice,Part II Additional,Vaccination for smallpox was discovered by,Edward Jenner
6,Multiple Choice,Part II Additional,Blister-like pustules occur due to,Chickenpox
7,Multiple Choice,Part II Additional,Expand Bt-toxin,Bacillus thuringiensis
8,Multiple Choice,Part II Additional,One nanometer equals to metres,10^-9
9,Multiple Choice,Part II Additional,Saprophytic angiosperm with mycorrhiza,Monotropa
10,Multiple Choice,Part II Additional,The famous roqueforti cheese is produced by employing,Penicillium camemberti
11,Multiple Choice,Part II Additional,Identify the criteria not used in classifying viruses by Baltimore,Capsid
12,Multiple Choice,Part II Additional,Both viruses and bacteria contain,Nucleic acids
13,Multiple Choice,Part II Additional,Lactobacillus bulgaricus is responsible for the formation of,Yoghurt
14,Multiple Choice,Part II Additional,Parvo viruses have,ssDNA
15,Multiple Choice,Part II Additional,Bacterial chlorophyll is also known as,Chromatium
16,Multiple Choice,Part II Additional,This drug is also known as wonder drug,Penicillin
17,Multiple Choice,Part II Additional,The empty protein coat left outside after penetration is,Ghost
18,Multiple Choice,Part II Additional,Among the given 4 – one is not viral diseases- find it out,Citrus canker
19,Multiple Choice,Part II Additional,Bacillus thuringiensis is an,Bio-pesticide
20,Multiple Choice,Part II Additional,Mad cow disease is caused by,Prions
21,Multiple Choice,Part II Additional,Bacteria that grow in high salinity condition is known as,Halobacterium
22,Multiple Choice,Part II Additional,Budding is an unique feature of,Schizo saccharomyces
23,Multiple Choice,Part II Additional,Mycophages infect,Fungi
24,Multiple Choice,Part II Additional,The colourless cell in Nostoc in the intercalary position is responsible for nitrogen fixation is,Heterocyst
25,Multiple Choice,Part II Additional,Genetic trait carried in the bacterial,Plasmid
26,Multiple Choice,Part II Additional,Three kingdom classification was proposed by,Haeckel
27,Multiple Choice,Part II Additional,Developing a vaccine for SARS is difficult because,It constantly changes its form
28,Multiple Choice,Part II Additional,Arrange correctly the following viruses according to shape and symmetry,"Herpes (Cuboidal), HIV (Spherical), Influenza (Helical), Vaccinovirus (Complex)"
1,Short Answer,Additional 2 Marks,Define Growth.,Growth is an intrinsic property of all living organisms through which they can increase cells both in number and mass.
2,Short Answer,Additional 2 Marks,Tabulate Milestones in Virology,"1796 - Edward Jenner - Vaccination for smallpox, 1886 - Adolf Mayer - Proved infectious nature of TMV, 1892 - Dimitry Ivanowsky - Viruses are smaller than bacteria"
3,Diagram Based,Additional 2 Marks,Draw the structure of TMV and label the parts and explain in a word or two,"a. Nucleic acid – It is ss RNA(Single Stranded), b. Capsomere – Protein Units, c. Capsid – Protein Coat"
4,Short Answer,Additional 2 Marks,Define reproduction and Mention its types.,Reproduction is the tendency of a living organism to perpetuate its own species. There are two types of reproduction namely asexual and sexual.
5,Short Answer,Additional 2 Marks,Bacteria is indeed friend- discuss,"Even though Bacteria cause many diseases, they are beneficial in daily life. Examples: Milk products (lactobacillus acidophilus/lacti) - Curd, butter, cheese, yogurt"
6,Short Answer,Additional 2 Marks,Name the four types of ascocarps produced by ascomycetes.,"1. Cleistothecium, 2. Perithecium, 3. Apothecium, 4. Pseudothecium"
7,Short Answer,Additional 2 Marks,Why is it essential to do classification?,"To relate on the basis of common features, define salient features, know relationships among groups, understand evolutionary relationships"
8,Short Answer,Additional 2 Marks,Ruggerio etal's recent classification-Explain.,"Published 7-kingdom system in 2015, extension of Cavalier's 6-Kingdom Scheme, includes 2 superkingdoms"
9,Short Answer,Additional 2 Marks,What is Prophage?,"In lysogenic cycle, injected phage DNA becomes circular and integrates into bacterial chromosome by recombination. The integrated DNA of phage and bacteria is known as Prophage."
10,Short Answer,Additional 2 Marks,Distinguish between Cyanophage and Mycophage,"Cyanophage infects blue-green algae (reported 1963), Mycophage attacks fungi (reported 1962)"
1,Long Answer,3 Marks,State the living and Non-living character of the Virus.,"Living characters: Has nucleic acid & protein, can mutate, multiply in living cells, cause diseases, show irritability. Non-living: Can crystallize, no metabolic machinery, inactive outside host, no energy-producing enzymes"
2,Long Answer,3 Marks,What are the economic importance of Cyanophyceae,"1. Water bloom production (Microcystis, Anabaena) affects aquatic life, 2. Nitrogen fixation (Nostoc, Anabaena), 3. Single-cell protein (Spirulina)"
3,Long Answer,3 Marks,Explain any 3 asexual method of reproduction in fungi,"1. Zoospores - Flagellate structures in zoosporangia (chytrids), 2. Conidia - Spores on conidiophores (Penicillium), 3. Budding - Small outgrowth of parental cell (Saccharomyces)"
4,Long Answer,3 Marks,Tabulate animal diseases caused by bacteria,"Anthrax (sheep) - Bacillus anthracis, Brucellosis (cattle) - Brucella abortus, Bovine TB (cattle) - Mycobacterium bovis, Black leg (cattle) - Clostridium chauvoei"
5,Long Answer,3 Marks,Distinguish between Ammonification & Nitrification.,"Ammonification converts proteins to ammonia and ammonium salts, Nitrification converts ammonia into nitrites and nitrates"
